Data_Vencimento;Fornecedor;Valor_Reais;Status;Categoria
03/02/2026;GLOBAL BRASIL TECNOLOGIA EM QUIMICA E MODA LTDA EM;516,62;Pago;
03/02/2026;STELLANTIS FINANCIAMENTOS SOCIEDADE DE CREDITO FINANCIAMENTO;3964,73;Pago;
04/02/2026;DELIX SOLUCOES TEXTEIS LTDA;364;Pago;
04/02/2026;ETHAN SERVICOS LTDA;2331,42;Pago;
04/02/2026;NTOOLS I.T. SOLUTION INFORMATICA EIRELI;4959,55;Pago;
05/02/2026;CASUAL TEXTIL LTDA;3013,33;Pago;
05/02/2026;DELIX SOLUCOES TEXTEIS LTDA;1960;Pago;
05/02/2026;DEBY RESTAURANTE LTDA;3220;Pago;
06/02/2026;BN PAPEL CATARINENSE LTDA.;3467,09;Pago;
06/02/2026;BN PAPEL CATARINENSE LTDA.;621,47;Pago;
06/02/2026;BN PAPEL CATARINENSE LTDA.;4227,26;Pago;
06/02/2026;BN PAPEL CATARINENSE LTDA.;6916,78;Pago;
09/02/2026;BN PAPEL CATARINENSE LTDA.;3158,09;Pago;
09/02/2026;KOHLER VARIEDADES LTDA. EPP;324,24;Pago;
09/02/2026;SAIONARA ROSELANIA TORRESANI GRIPA;8137;Pago;
09/02/2026;NTOOLS I.T. SOLUTION INFORMATICA EIRELI;1025,01;Pago;
10/02/2026;BRUSQUE ASSESSORIA CONTABIL SOCIEDADE SIMPLES LTDA;675;Pago;
10/02/2026;BRUSQUE ASSESSORIA CONTABIL SOCIEDADE SIMPLES LTDA;1525;Pago;
10/02/2026;ALESSANDRO CLAUDIO QUAIATTO-ACQXON CONS E ASSES EXPRESARIAL;3200;Pago;
10/02/2026;COLIBRI GRAFICA DIGITAL LTDA;300;Pago;
11/02/2026;DELIX SOLUCOES TEXTEIS LTDA;4230;Pago;
12/02/2026;BRUSQUE ASSESSORIA CONTABIL SOCIEDADE SIMPLES LTDA;1275;Pago;
12/02/2026;BN PAPEL CATARINENSE LTDA.;1349,54;Pago;
13/02/2026;BN PAPEL CATARINENSE LTDA.;4227,26;Pago;
13/02/2026;BN PAPEL CATARINENSE LTDA.;6916,78;Pago;
13/02/2026;BN PAPEL CATARINENSE LTDA.;365,25;Pago;
15/02/2026;LD RECICLAGEM DE PAPEL E PAPELAO LTDA;750;Pago;
16/02/2026;BN PAPEL CATARINENSE LTDA.;3158,09;Pago;
16/02/2026;SINDICATO DOS TRAB. IND. DE BRUSQUE E GUABIRUBA;160;Pago;
17/02/2026;DELIX SOLUCOES TEXTEIS LTDA;1495;Pago;
17/02/2026;KOHLER VARIEDADES LTDA. EPP;240,2;Pago;
